Table,Field,Data Type,Nullable,Key/Constraint,Default,Description,Suggested Dataverse Column
submission_schedule_scores,schedule_score_id,INTEGER,No,Primary key,Auto increment,Per-schedule score identifier,nb_budgetschedulescoreid
submission_schedule_scores,submission_id,INTEGER,No,Foreign key,,Parent submission,nb_BudgetSubmission lookup
submission_schedule_scores,schedule_id,TEXT,No,,,Stable schedule code,nb_scheduleid
submission_schedule_scores,schedule_title,TEXT,No,,,Displayed schedule title,nb_name
submission_schedule_scores,earned_points,REAL,No,,,Points earned for this schedule,nb_earnedpoints
submission_schedule_scores,possible_points,REAL,No,,,Schedule weight in the 100-point assignment,nb_possiblepoints
submission_schedule_scores,correct_cells,INTEGER,No,,,Number of correct cells,nb_correctcells
submission_schedule_scores,possible_cells,INTEGER,No,,,Number of graded cells,nb_possiblecells
app_settings,setting_key,TEXT,No,Primary key,,Application setting name,Environment variable or nb_budgetsetting
app_settings,setting_value,TEXT,No,,,"Setting value such as attempts, passing score, or feedback control",nb_settingvalue
audit_log,audit_id,INTEGER,No,Primary key,Auto increment,Audit event identifier,nb_budgetauditlogid
audit_log,user_id,INTEGER,Yes,Foreign key,,User associated with the event,nb_BudgetUser lookup
audit_log,action,TEXT,No,,,"LOGIN, SAVE_DRAFT, SUBMIT, or PROFESSOR_RESET",nb_action
audit_log,details_json,TEXT/JSON,Yes,,,Context for the event,nb_detailsjson
audit_log,created_at,TEXT/UTC timestamp,No,,,Audit event timestamp,createdon
dynamics_sync_log,sync_id,INTEGER,No,Primary key,Auto increment,Dataverse synchronization event identifier,nb_budgetsynclogid
dynamics_sync_log,user_id,INTEGER,Yes,Foreign key,,User initiating or associated with synchronization,nb_BudgetUser lookup
dynamics_sync_log,local_table,TEXT,No,,,Name of local SQLite source table,nb_localtable
dynamics_sync_log,local_record_id,TEXT,Yes,,,Local primary-key value,nb_localrecordid
dynamics_sync_log,dataverse_entity_set,TEXT,No,,,Dataverse entity-set logical name,nb_entityset
dynamics_sync_log,dataverse_record_id,TEXT,Yes,,,Dataverse GUID returned by the Web API,nb_dataverserecordid
dynamics_sync_log,sync_direction,TEXT,No,,,PUSH or PULL,nb_syncdirection
dynamics_sync_log,sync_status,TEXT,No,,,"PENDING, SUCCESS, or FAILED",nb_syncstatus
dynamics_sync_log,response_code,INTEGER,Yes,,,HTTP response code,nb_responsecode
dynamics_sync_log,response_message,TEXT,Yes,,,Response or error detail,nb_responsemessage
dynamics_sync_log,created_at,TEXT/UTC timestamp,No,,,Synchronization timestamp,createdon
